"Feature_Set","Model","Features","Train_AUC","Test_AUC","Test_Accuracy"
"Clinical_Only","LOGISTIC",57,0.95730964581934,0.899029126213592,0.882113821138211
"Clinical_TOP100","LOGISTIC",152,0.98454978377848,0.853155339805825,0.83739837398374
"Clinical_TOP50","LOGISTIC",104,0.971656490796435,0.875970873786408,0.861788617886179
"Clinical_TOP20","LOGISTIC",77,0.963972136479929,0.902063106796117,0.894308943089431
