"Feature_Set","Model","Features","Train_AUC","Test_AUC","Test_Accuracy"
"Clinical_Only","UNILASSO",21,0.949032852086368,0.891747572815534,0.882113821138211
"Clinical_TOP5000","UNILASSO",4,0.595031055900621,0.5125,0.841463414634146
"Clinical_TOP1000","UNILASSO",50,0.968545617835068,0.868932038834952,0.90650406504065
"Clinical_TOP500","UNILASSO",43,0.965439273073062,0.865169902912621,0.910569105691057
"Clinical_TOP100","UNILASSO",31,0.956222877972574,0.868325242718447,0.90650406504065
"Clinical_TOP50","UNILASSO",26,0.950204901021109,0.8875,0.91869918699187
"Clinical_TOP20","UNILASSO",24,0.948927948801159,0.893325242718447,0.91869918699187
