"Feature_Set","Model","Features","Train_AUC","Test_AUC","Test_Accuracy"
"Clinical_Only","RIDGE",53,0.929248394375976,0.88373786407767,0.857723577235772
"Clinical_TOP5000","RIDGE",4689,0.990969261073334,0.700364077669903,0.747967479674797
"Clinical_TOP1000","RIDGE",1005,0.999912454812344,0.828398058252427,0.83739837398374
"Clinical_TOP500","RIDGE",532,0.99587028218229,0.811043689320388,0.813008130081301
"Clinical_TOP100","RIDGE",148,0.958280189882493,0.864441747572816,0.841463414634146
"Clinical_TOP50","RIDGE",100,0.944057115687947,0.882888349514563,0.853658536585366
"Clinical_TOP20","RIDGE",73,0.932576620906696,0.895631067961165,0.857723577235772
