"Feature_Set","Model","Features","Train_AUC","Test_AUC","Test_Accuracy"
"Clinical_Only","LASSO",23,0.942259420541422,0.898422330097087,0.873983739837398
"Clinical_TOP5000","LASSO",320,1,0.837985436893204,0.873983739837398
"Clinical_TOP1000","LASSO",209,0.997586469740308,0.874514563106796,0.869918699186992
"Clinical_TOP500","LASSO",151,0.990794170698022,0.850606796116505,0.83739837398374
"Clinical_TOP100","LASSO",80,0.964225715644174,0.860800970873786,0.873983739837398
"Clinical_TOP50","LASSO",58,0.957370021810827,0.887014563106796,0.886178861788618
"Clinical_TOP20","LASSO",35,0.946377063160834,0.905218446601942,0.886178861788618
