"Feature_Set","Model","Features","Train_AUC","Test_AUC","Test_Accuracy"
"Clinical_Only","ELASTICNET",34,0.942804313864592,0.898543689320388,0.869918699186992
"Clinical_TOP5000","ELASTICNET",504,1,0.794417475728155,0.845528455284553
"Clinical_TOP1000","ELASTICNET",314,0.999562274061719,0.862864077669903,0.869918699186992
"Clinical_TOP500","ELASTICNET",230,0.995162373682105,0.837135922330097,0.83739837398374
"Clinical_TOP100","ELASTICNET",95,0.966684527897482,0.860436893203884,0.873983739837398
"Clinical_TOP50","ELASTICNET",71,0.95820170109356,0.883495145631068,0.873983739837398
"Clinical_TOP20","ELASTICNET",46,0.948058534523747,0.905339805825243,0.894308943089431
