"Feature_Set","Model","Features","Train_AUC","Test_AUC","Test_Accuracy"
"Clinical_Only","ADAPTIVE",19,0.9425914884946,0.900970873786408,0.882113821138211
"Clinical_TOP5000","ADAPTIVE",226,0.999975849603405,0.865291262135922,0.886178861788618
"Clinical_TOP1000","ADAPTIVE",168,0.998801536568983,0.859101941747573,0.873983739837398
"Clinical_TOP500","ADAPTIVE",144,0.997649864531369,0.837378640776699,0.83739837398374
"Clinical_TOP100","ADAPTIVE",56,0.961375968845988,0.859344660194175,0.869918699186992
"Clinical_TOP50","ADAPTIVE",48,0.957194931435515,0.895873786407767,0.898373983739837
"Clinical_TOP20","ADAPTIVE",25,0.945139355335351,0.908131067961165,0.894308943089431
